Category,Name,Price
bakery,New York Bakery Everything Bagel 5 pack,£1.90
bakery,New York Bakery Co Red Onion & Chive Bagels 5 Pack,£1.90
bakery,New York Bakery Co Plain and Sesame Bagels 5 Pack,£1.90
bakery,Warburtons Thin Plain Bagels 6 Pack,£1.85
bakery,Hovis Seed Sensations Seven Seeds Sliced Bread 800g,£1.95
bakery,Warburtons Farmhouse Thick Sliced White Bread 800g,£1.60
bakery,Tesco Plain White Tortilla Wraps 8 Pack,£1.30
bakery,Tesco Finest Super Seeded Sliced Farmhouse Loaf 800g,£1.50
bakery,Hovis Wholemeal Tasty Medium Bread 800g,£1.50
bakery,Warburtons Toastie Thick Sliced White Bread 800g,£1.40
bakery,Hovis Best of Both Medium Bread 800g,£1.25
bakery,Warburtons Medium Sliced Soft White Bread 800g,£1.40
bakery,Hovis Soft White Medium Sliced Bread 800g,£1.39
bakery,Hovis Soft White Thick Sliced Bread 800g,£1.39
bakery,H.W. Nevill's Part Baked White Baguette 2 Pack,£0.85
bakery,Kingsmill 50/50 Medium Soft White Bread Loaf 800g,£1.05
bakery,H.W. Nevills Plain White Tortilla Wraps 8 Pack,£0.99
bakery,Tesco Multiseed Batch Medium Sliced White Loaf 800g,£1.25
bakery,Warburtons Crumpets 9 Pack,£1.15
bakery,Warburtons Crumpets 6 Pack,£0.90
bakery,Tesco Classic Crumpets 6 Pack,£0.45
bakery,Tesco White Toastie Bread Thick Sliced 800g,£0.75
bakery,Tesco Wholemeal Medium Sliced Bread 800g,£0.75
bakery,Tesco Scotch Pancakes 6 pack,£0.48
bakery,Tesco Medium Sliced White Bread 800g,£0.74
bakery,Tesco White Plain Pitta Bread 6 Pack,£0.50
bakery,Tesco All Butter Pain Au Chocolat 4 Pack,£2.00
bakery,Tesco Butter Brioche Rolls 8 Pack,£1.65
bakery,Hovis Authentic Granary Thick Bread 800g,£1.95
bakery,Warburtons Soft & Sliced Original Bagels 5 Pack,£1.90
bakery,Warburtons Soft White Sandwich Rolls 12 Pack,£1.95
bakery,Tesco Mini White Tortilla Wraps Plain 8 Pack,£1.10
bakery,Tesco Bake at Home Part Baked Mini White Rolls 6 Pack,£1.20
bakery,Tesco Finest Wholemeal Loaf 800G,£1.50
bakery,Warburtons Fruit Teacakes 4 Pack,£1.40
bakery,Warburtons Half And Half Medium Bread 800G,£1.35
bakery,Tesco Finest All Butter Croissants 4 Pack,£2.50
bakery,Tesco Wholemeal Tortilla Wraps 8 pack,£1.30
bakery,Warburtons Wholemeal Medium Sliced Bread 800g,£1.35
bakery,Cadbury Mini Rolls - Milk Chocolate 5 Pack,£2.50
bakery,Warburtons Soft White Sandwich Rolls 6 Pack,£1.20
bakery,Warburtons Toastie Thick and Small Sliced White Bread 400g,£0.99
bakery,Warburtons Wholemeal Medium Sliced Bread 400g,£0.99
bakery,Tesco Brioche Burger Buns 4 Pack,£0.99
bakery,Tesco White English Muffins 4 Pack,£0.85
bakery,Tesco Hot Cross Buns 6 pack,£1.35
bakery,H.W. Nevills Plain Croissants 8 Pack,£1.39
bakery,Tesco Wholemeal Pitta Bread 6 Pack,£0.50
