Category,Name,Price,Price_Numeric
Bakery,Al'fez Lebanese Style Flatbreads Flame Baked 180G,£2.25,2.25
Bakery,BFree 2 Gluten Free Spiced Crt Cakes 170G,£3.50,3.5
Bakery,BFree Bake at Home White Demi Baguettes 2 Pack 220g,£3.10,3.1
Bakery,BFree Gluten Free High Protein Wraps 4 x 42g (168g),£3.80,3.8
Bakery,BFree Gluten Free Soft White Wraps 4 x 42g (168g),£2.70,2.7
Bakery,BFree Gluten Free Stone Baked Pitta Bread 220g,£2.75,2.75
Bakery,BFree Gluten Free Sweet Potato Wraps 6 Pack 42g,£3.75,3.75
Bakery,BFree Gluten Free Tiger Rolls 4 Pack 60g,£3.40,3.4
Bakery,BFree Stone Baked Pizza Bases 360g,£4.25,4.25
Bakery,BFree Wholegrain Gluten Free Pitta Bread 4 Pack 55g,£2.75,2.75
Bakery,BRITANNIA GOOD DAY BUTTER COOKIES 216g,£1.50,1.5
Bakery,Biona Organic Rye Bread Chia & Flax 500g,£2.95,2.95
Bakery,Bluey Celebration Cake with Raspberry Jam,£14.50,14.5
Bakery,Bonne Maman Chocolate Madeleines with Milk 7 Pack,£3.15,3.15
Bakery,Bonne Maman Chocolate Pecan Brownies 175g,£2.50,2.5
Bakery,Bonne Maman La Madeleine 7 Pack,£3.15,3.15
Bakery,Bonne Maman Petits Muffins - Vanilla 235g,£3.00,3.0
Bakery,Brioche Pasquier 6 Beignets Chocolate & Hazelnut 270g,£2.20,2.2
Bakery,Brioche Pasquier 8 Pancakes chocolate chip 280g,£2.25,2.25
Bakery,Brioche Pasquier Pain Au Chocolat 6 Pack,£1.90,1.9
Bakery,Brioche Pasquier Pitch Chocolate Chip Brioche 6 Pack,£1.75,1.75
Bakery,Cadbury Caramel Cake Bars 5 Pack,£2.25,2.25
Bakery,Cadbury Caramel Chocolate Celebration Cake,£13.00,13.0
Bakery,Cadbury Crunchie Cake Bars 5 Pack,£2.25,2.25
Bakery,Cadbury Crunchie Celebration Cake with Honeycomb,£13.00,13.0
Bakery,Cadbury Dairy Milk Caramel Mini Cookies X14,£3.00,3.0
Bakery,Cadbury Flake Chocolate Celebration Cake,£13.00,13.0
Bakery,Cadbury Milk Chocolate Caramel Mini Rolls Cakes 10 pack,£3.95,3.95
Bakery,Cadbury Mini Rolls - Chocolate Orange 5 Pack,£2.50,2.5
Bakery,Cadbury Mini Rolls - Milk Chocolate 10 Pack,£3.95,3.95
Bakery,Cadbury Mini Rolls - Milk Chocolate 5 Pack,£2.50,2.5
Bakery,Cadbury Mini Rolls - Raspberry 10 Pack,£3.95,3.95
Bakery,Cadbury Mini Yule Logs - Triple Chocolate 5 Pack,£2.85,2.85
Bakery,Cadbury Raspberry Mini Roll 5 Pack,£2.50,2.5
Bakery,Cadbury Reindeer Cakes 4 Pack,£2.85,2.85
Bakery,Clay Oven Bakery Artisan Flame Baked Pizza Bases 2 pack,£2.95,2.95
Bakery,Clay Oven Bakery Hand Stretched Garlic & Coriander Naan Bread 2 Pack 360g,£1.85,1.85
Bakery,Clay Oven Bakery Plain Naan Bread 2 Pack 360g,£1.85,1.85
Bakery,Crosta & Mollica Durum Wheat Piadina Midi Flatbreads 6 Pack 240g,£2.00,2.0
Bakery,Crosta & Mollica Wholeblend Piadina Midi Flatbreads 240g,£2.00,2.0
Bakery,Deli Kitchen 4 Colombian Style Buns,£2.00,2.0
Bakery,Deli Kitchen Brioche Style Tortilla Wraps 6 Pack 366g,£1.90,1.9
Bakery,Deli Kitchen Carb Lite Wheat Tortilla Wraps 6 Pack 300g,£1.90,1.9
Bakery,Deli Kitchen Greek Style Plain Flatbreads 4 Pack 320g,£1.90,1.9
Bakery,Deli Kitchen Lebanese Style Flatbreads 2 pack,£1.50,1.5
Bakery,Deli Kitchen Persian Style Plain Flatbreads 2 Pack 180g,£1.45,1.45
Bakery,Deli Kitchen Sliced Focaccia Flatbreads 4 Pack 300g,£1.80,1.8
Bakery,Dina Paninette 5 Large Traditional Lebanese White Bread Wraps,£1.20,1.2
Bakery,Disney Cars Lightning McQueen Chocolate Celebration Cake,£15.50,15.5
Bakery,Disney Princess Garland Cake,£14.00,14.0
Bakery,Dr Schar Gluten Free Vitality Loaf 350G,£3.00,3.0
Bakery,Galaxy Chocolate Sponge Cake Bars with Cream Centre 5 Pack,£2.75,2.75
Bakery,Galaxy Cupcakes 9 pack,£7.50,7.5
Bakery,Galaxy Ripple Indulgent Chocolate Cake Portions,£15.00,15.0
Bakery,Galaxy Salted Caramel Cake Bars 5 Pack,£2.50,2.5
Bakery,Galaxy Treat Cake - Chocolate,£10.00,10.0
Bakery,Genius Deliciously Gluten Free Blueberry Pancakes 6 pack,£2.20,2.2
Bakery,Genius Gluten Free 4 Triple Chocolate Fudgy Brownies,£3.25,3.25
Bakery,Genius Gluten Free Blueberry Muffins 2 Pack,£2.10,2.1
Bakery,Genius Gluten Free Brioche Style Burger Buns 2 Pack,£2.00,2.0
Bakery,Genius Gluten Free Cinnamon & Raisin Spicy Loaf 400g,£3.10,3.1
Bakery,Genius Gluten Free Crumpets 4 pack,£2.20,2.2
Bakery,Genius Gluten Free Double Chocolate Muffins 2 Pack,£2.10,2.1
Bakery,Genius Gluten Free Multi Seeded Farmhouse Loaf Bread 430g,£2.75,2.75
Bakery,Genius Gluten Free Multi Seeded Rolls 4 Pack,£2.30,2.3
Bakery,Genius Gluten Free Pancakes 6 pack,£2.20,2.2
Bakery,Genius Gluten Free Soft White Toastie Loaf Bread 430g,£2.75,2.75
Bakery,Genius Gluten Free Tiger Bread Bloomer Loaf 400g,£3.30,3.3
Bakery,Genius Rocky Roads with Wild Strawberry Candy Kittens 4 pack,£4.00,4.0
Bakery,Guinness Chocolate Gift Cake,£6.50,6.5
Bakery,H.W. Nevill's Medium Sliced White Bread 800g,£0.55,0.55
Bakery,H.W. Nevill's Medium Sliced Wholemeal Bread 800g,£0.55,0.55
Bakery,H.W. Nevill's Part Baked White Baguette 2 Pack,£0.89,0.89
Bakery,H.W. Nevills Pain Au Chocolat 8 Pack,£1.39,1.39
Bakery,H.W. Nevills Plain Croissants 8 Pack,£1.39,1.39
Bakery,H.W. Nevills Plain White Tortilla Wraps 8 Pack,£0.99,0.99
Bakery,H.W. Nevills Wholemeal Tortilla Wraps 8 Pack,£0.99,0.99
Bakery,Heat & Eat Seeded Baguette 3 Pack,£1.60,1.6
Bakery,Heat & Eat White Baguette 3 Pack,£1.60,1.6
Bakery,Heat and Eat Sea Salt & Pepper Baguette 3 Pack,£1.60,1.6
Bakery,Hershey's Cookies 'n' Creme Filled Crepes 6 Pack 192g,£2.10,2.1
Bakery,Hoppers Farmhouse Bakeries Chocolate Mini Rolls (Family Pack) 10 Pack,£1.90,1.9
Bakery,Hovis Authentic Granary Small Bread 400g,£1.15,1.15
Bakery,Hovis Authentic Granary Thick Bread 800g,£1.95,1.95
Bakery,Hovis Authentic Granary Wholemeal Sliced Bread 800g,£1.95,1.95
Bakery,Hovis Best of Both Medium Bread 800g,£1.15,1.15
Bakery,Hovis Best of Both Thick Bread 800g,£1.15,1.15
Bakery,Hovis Buttermilk Sub Rolls 4 Pack,£2.00,2.0
Bakery,Hovis Farmhouse Batch 400g,£1.25,1.25
Bakery,Hovis Farmhouse Batch 800g,£1.65,1.65
Bakery,Hovis Farmhouse Batch Wholemeal Bread with Oats 800g,£1.65,1.65
Bakery,Hovis Premium Burger Buns 4 Pack,£1.50,1.5
Bakery,Hovis Premium Hot Dog Rolls 4 Pack,£1.50,1.5
Bakery,Hovis Protein Sunflower & Honey Sub Rolls 2 Pack,£1.40,1.4
Bakery,Hovis Seed Sensations Multiseeded Malted Wholegrain Bread 800g,£1.95,1.95
Bakery,Hovis Seed Sensations Seven Seeds Sliced Bread 400g,£1.15,1.15
Bakery,Hovis Seed Sensations Seven Seeds Sliced Bread 800g,£1.95,1.95
Bakery,Hovis Seeded Batch Sliced Bread 800g,£1.50,1.5
Bakery,Hovis Seeded Multiseeded Sliced Bread 450g,£1.85,1.85
Bakery,Hovis Signature White 800g,£1.65,1.65
Bakery,Hovis Soft White Medium Sliced Bread 800g,£1.39,1.39
Bakery,Hovis Soft White Thick Sliced Bread 800g,£1.39,1.39
